"period";"yearmonth";"profilID";"insurer";"coverage";"type";"date_aspiration";"price"
"Y17W25";"Y17M06";"LOAN2017_100";"Groupe AXA";"Formule Optimum";"CLASSIQUE";"2017-06-24";"2515"
"Y17W25";"Y17M06";"LOAN2017_144";"Zen'up";"Minimum";"RESIDUAL";"2017-06-24";"910"
"Y17W25";"Y17M06";"LOAN2017_100";"Cardif";"Formule Optimum";"BANCASSUREUR";"2017-06-24";"2165"
"Y17W25";"Y17M06";"LOAN2017_100";"Groupe AVIVA";"Formule Optimum";"CLASSIQUE";"2017-06-24";"3518"
"Y17W25";"Y17M06";"LOAN2017_100";"AXA";"Formule Optimum";"CLASSIQUE";"2017-06-24";"3489"
"Y17W25";"Y17M06";"LOAN2017_101";"AXA";"Minimum";"CLASSIQUE";"2017-06-24";"6593"
"Y17W25";"Y17M06";"LOAN2017_101";"Cardif";"Minimum";"BANCASSUREUR";"2017-06-24";"6415"
"Y17W25";"Y17M06";"LOAN2017_192";"Zen'up";"Minimum";"RESIDUAL";"2017-06-23";"8926"
"Y17W25";"Y17M06";"LOAN2017_101";"Groupe AXA";"Minimum";"CLASSIQUE";"2017-06-24";"10323"
"Y17W25";"Y17M06";"LOAN2017_101";"Groupe AVIVA";"Minimum";"CLASSIQUE";"2017-06-24";"7203"
"Y17W25";"Y17M06";"LOAN2017_208";"Zen'up";"Minimum";"RESIDUAL";"2017-06-24";"3050"
"Y17W25";"Y17M06";"LOAN2017_101";"Groupe AXA";"Formule Optimum";"CLASSIQUE";"2017-06-24";"15040"
"Y17W25";"Y17M06";"LOAN2017_101";"Cardif";"Formule Optimum";"BANCASSUREUR";"2017-06-24";"10453"
"Y17W25";"Y17M06";"LOAN2017_208";"Zen'up";"Formule Optimum";"RESIDUAL";"2017-06-24";"4809"
"Y17W25";"Y17M06";"LOAN2017_101";"AXA";"Formule Optimum";"CLASSIQUE";"2017-06-24";"8584"
"Y17W25";"Y17M06";"LOAN2017_102";"AXA";"Minimum";"CLASSIQUE";"2017-06-23";"4565"
"Y17W25";"Y17M06";"LOAN2017_102";"Groupe AVIVA";"Minimum";"CLASSIQUE";"2017-06-23";"5018"
"Y17W25";"Y17M06";"LOAN2017_102";"Groupe AXA";"Minimum";"CLASSIQUE";"2017-06-23";"5516"
"Y17W25";"Y17M06";"LOAN2017_102";"AsCourtage";"Formule Optimum";"RESIDUAL";"2017-06-23";"6268"
"Y17W25";"Y17M06";"LOAN2017_102";"SIMPL'ASSUR";"Formule Optimum";"CLASSIQUE";"2017-06-23";"7288"
"Y17W25";"Y17M06";"LOAN2017_102";"MAAF Assurances";"Formule Optimum";"MUTUELLE";"2017-06-23";"8345"
"Y17W25";"Y17M06";"LOAN2017_102";"AsCourtage";"Minimum";"RESIDUAL";"2017-06-23";"2366"
"Y17W25";"Y17M06";"LOAN2017_102";"Groupe AXA";"Formule Optimum";"CLASSIQUE";"2017-06-23";"8984"
"Y17W25";"Y17M06";"LOAN2017_102";"Groupe AVIVA";"Formule Optimum";"CLASSIQUE";"2017-06-23";"9455"
"Y17W25";"Y17M06";"LOAN2017_102";"AXA";"Formule Optimum";"CLASSIQUE";"2017-06-23";"15200"
"Y17W25";"Y17M06";"LOAN2017_103";"AsCourtage";"Minimum";"RESIDUAL";"2017-06-25";"3366"
"Y17W25";"Y17M06";"LOAN2017_102";"MAAF Assurances";"Minimum";"MUTUELLE";"2017-06-23";"4166"
"Y17W25";"Y17M06";"LOAN2017_103";"ALPTIS";"Minimum";"RESIDUAL";"2017-06-25";"5022"
"Y17W25";"Y17M06";"LOAN2017_103";"Cardif";"Minimum";"BANCASSUREUR";"2017-06-25";"4691"
"Y17W25";"Y17M06";"LOAN2017_103";"AsCourtage";"Formule Optimum";"RESIDUAL";"2017-06-25";"5818"
"Y17W25";"Y17M06";"LOAN2017_103";"MAAF Assurances";"Minimum";"MUTUELLE";"2017-06-25";"4560"
"Y17W25";"Y17M06";"LOAN2017_103";"Groupe AXA";"Minimum";"CLASSIQUE";"2017-06-25";"5838"
"Y17W25";"Y17M06";"LOAN2017_103";"Cardif";"Formule Optimum";"BANCASSUREUR";"2017-06-25";"8071"
"Y17W25";"Y17M06";"LOAN2017_104";"AsCourtage";"Minimum";"RESIDUAL";"2017-06-24";"386"
"Y17W25";"Y17M06";"LOAN2017_103";"AXA";"Minimum";"CLASSIQUE";"2017-06-25";"3948"
"Y17W25";"Y17M06";"LOAN2017_103";"ALPTIS";"Formule Optimum";"RESIDUAL";"2017-06-25";"7990"
"Y17W25";"Y17M06";"LOAN2017_104";"AsCourtage";"Formule Optimum";"RESIDUAL";"2017-06-24";"1049"
"Y17W25";"Y17M06";"LOAN2017_105";"AsCourtage";"Minimum";"RESIDUAL";"2017-06-24";"44149"
"Y17W25";"Y17M06";"LOAN2017_103";"MAAF Assurances";"Formule Optimum";"MUTUELLE";"2017-06-25";"8438"
"Y17W25";"Y17M06";"LOAN2017_103";"Groupe AXA";"Formule Optimum";"CLASSIQUE";"2017-06-25";"8401"
"Y17W25";"Y17M06";"LOAN2017_106";"AsCourtage";"Minimum";"RESIDUAL";"2017-06-24";"1445"
"Y17W25";"Y17M06";"LOAN2017_106";"AsCourtage";"Formule Optimum";"RESIDUAL";"2017-06-24";"3368"
"Y17W25";"Y17M06";"LOAN2017_104";"Groupe AXA";"Minimum";"CLASSIQUE";"2017-06-24";"766"
